keyword,foods
cold drink,"Milkshake, Smoothie, Iced Coffee, Lemonade"
hot drink,"Hot Chocolate, Tea, Coffee, Cappuccino"
hot day,"Milkshake, Smoothie, Iced Coffee, Lemonade, Ice Cream"
cold day,"Soup, Hot Chocolate, Mac and Cheese, Porridge"
vegan,"Chickpea Salad, Lentil Soup, Tofu Bowl, Vegan Burger"
asian,"Fried Rice, Noodles, Dumplings, Sushi"
meat,"Chicken Curry, Beef Burger, Pork Ribs, Steak"
snack,"Chips, Popcorn, Sandwich, Nachos"
dessert,"Ice Cream, Brownie, Cheesecake, Pudding"
breakfast,"Pancakes, Omelette, Toast, Smoothie Bowl"
lunch,"Rice and Curry, Burger, Sandwich, Pasta"
dinner,"Pizza, Steak, Noodles, Curry"
healthy,"Salad, Smoothie Bowl, Grilled Fish, Quinoa"
spicy,"Spicy Curry, Hot Wings, Chili Noodles, Spicy Ramen"
sweet,"Ice Cream, Donut, Cake, Milkshake"
salty,"French Fries, Pretzels, Salted Nuts, Chips"
seafood,"Shrimp Scampi, Fish and Chips, Lobster Roll, Oysters"
italian,"Spaghetti Bolognese, Lasagna, Risotto, Tiramisu"
mexican,"Tacos al Pastor, Enchiladas, Guacamole, Churros"
french,"Croissant, French Onion Soup, Crème brûlée, Macarons"
japanese,"Sushi, Ramen, Tempura, Sashimi"
chinese,"Fried Rice, Kung Pao Chicken, Dumplings, Peking Duck"
korean,"Kimchi, Bibimbap, Korean BBQ, Tteokbokki"
thai,"Pad Thai, Tom Yum Soup, Green Curry, Mango Sticky Rice"
vietnamese,"Pho, Banh Mi, Spring Rolls, Vietnamese Iced Coffee"
greek,"Gyros, Souvlaki, Moussaka, Baklava"
middle eastern,"Hummus, Falafel, Shawarma, Kebab"
bbq,"BBQ Ribs, Pulled Pork, Brisket, Coleslaw"
comfort food,"Mac and Cheese, Grilled Cheese Sandwich, Tomato Soup, Mashed Potatoes"
street food,"Taco, Hot Dog, Pretzels, Crepes"
fancy meal,"Filet Mignon, Caviar, Truffle Pasta, Lobster Thermidor"
cheap eats,"Ramen, Burger, Pizza Slice, Hot Dog"
quick bite,"Energy Bar, Apple, Banana, Granola Bar"
family meal,"Roasted Chicken, Pot Roast, Large Pizza, Family-size Pasta"
kids meal,"Chicken Nuggets, Mac and Cheese, Mini Pizza, Fish Sticks"
vegetarian,"Veggie Burger, Falafel Wrap, Lentil Soup, Quinoa Salad"
vegan,"Tofu Scramble, Vegan Pizza, Plant-based Burger, Veggie Tacos"
gluten-free,"Gluten-Free Pasta, Quinoa Salad, Rice Noodles, Corn Tortillas"
dairy-free,"Lactose-Free Milk, Sorbet, Coconut Yogurt, Soy Milk"
nut-free,"Almond-Free Cookies, Sunflower Seed Butter, Coconut Flakes, Pumpkin Seeds"
spicy,"Spicy Ramen, Hot Wings, Jalapeño Poppers, Spicy Salsa"
mild,"Plain Yogurt, Steamed Fish, White Rice, Plain Toast"
sweet,"Chocolate Cake, Ice Cream, Donuts, Candy"
savory,"Pork Chops, Mashed Potatoes, Gravy, Steak"
bitter,"Dark Chocolate, Coffee, Tonic Water, Grapefruit"
sour,"Sour Candy, Lemon Tart, Vinegar Chips, Sour Patch Kids"
healthy,"Salad, Grilled Fish, Quinoa Bowl, Fruit Salad"
unhealthy,"French Fries, Burger, Pizza, Ice Cream"
fried,"Fried Chicken, French Fries, Onion Rings, Donuts"
baked,"Baked Potatoes, Baked Ziti, Baked Chicken, Baked Apples"
roasted,"Roasted Vegetables, Roasted Chicken, Roasted Potatoes, Roasted Nuts"
grilled,"Grilled Salmon, Grilled Chicken, Grilled Cheese, Grilled Corn"
steamed,"Steamed Dumplings, Steamed Fish, Steamed Vegetables, Steamed Buns"
sushi,"California Roll, Tuna Roll, Salmon Nigiri, Dragon Roll"
pizza,"Pepperoni Pizza, Margherita Pizza, Hawaiian Pizza, Veggie Pizza"
burger,"Cheeseburger, Bacon Burger, Veggie Burger, Chicken Burger"
tacos,"Chicken Tacos, Beef Tacos, Fish Tacos, Veggie Tacos"
pasta,"Spaghetti, Fettuccine Alfredo, Carbonara, Pesto Pasta"
soup,"Chicken Noodle Soup, Tomato Soup, Minestrone Soup, Lentil Soup"
salad,"Caesar Salad, Greek Salad, Cobb Salad, Caprese Salad"
sandwich,"Club Sandwich, BLT, Grilled Cheese, Turkey Sandwich"
dessert,"Ice Cream, Cake, Pie, Cookies"
snack,"Chips, Popcorn, Pretzels, Nuts"
breakfast,"Pancakes, Waffles, Omelette, Cereal"
lunch,"Sandwich, Salad, Soup, Burger"
dinner,"Steak, Pasta, Pizza, Chicken"
late-night snack,"Nachos, Tacos, Pizza, Burger"
drink,"Water, Juice, Soda, Coffee"
coffee,"Latte, Cappuccino, Espresso, Americano"
tea,"Green Tea, Black Tea, Herbal Tea, Iced Tea"
smoothie,"Strawberry Smoothie, Mango Smoothie, Banana Smoothie, Green Smoothie"
juice,"Orange Juice, Apple Juice, Grape Juice, Cranberry Juice"
milkshake,"Vanilla Milkshake, Chocolate Milkshake, Strawberry Milkshake, Oreo Milkshake"
cocktail,"Margarita, Mojito, Old Fashioned, Martini"
mocktail,"Shirley Temple, Virgin Mojito, Cranberry Spritzer, Nojito"
wine,"Chardonnay, Merlot, Pinot Noir, Sauvignon Blanc"
beer,"IPA, Lager, Stout, Ale"
soda,"Coca-Cola, Pepsi, Sprite, Fanta"
water,"Still Water, Sparkling Water, Lemon Water, Mineral Water"
hot,"Hot Chocolate, Coffee, Soup, Hot Tea"
cold,"Ice Cream, Smoothie, Iced Coffee, Milkshake"
warm,"Warm Milk, Warm Soup, Warm Tea, Warm Porridge"
chilled,"Chilled Watermelon, Chilled Grapes, Chilled Yogurt, Chilled Soup"
frozen,"Frozen Yogurt, Ice Cream, Sorbet, Popsicles"
fruity,"Fruit Salad, Fruit Smoothie, Fruit Juice, Fruity Dessert"
vegetable,"Roasted Vegetables, Vegetable Soup, Vegetable Curry, Steamed Vegetables"
meat,"Chicken Breast, Beef Steak, Pork Chop, Lamb Chops"
chicken,"Chicken Curry, Roasted Chicken, Fried Chicken, Grilled Chicken"
beef,"Beef Steak, Beef Stew, Beef Burger, Beef Tacos"
pork,"Pork Chop, Pulled Pork, Pork Ribs, Pork Belly"
fish,"Grilled Salmon, Fried Fish, Fish Tacos, Tuna Steak"
lamb,"Lamb Chops, Lamb Curry, Roasted Lamb, Lamb Kebab"
cheese,"Mac and Cheese, Pizza, Grilled Cheese, Cheesecake"
egg,"Omelette, Scrambled Eggs, Fried Egg, Hard-Boiled Egg"
chocolate,"Chocolate Cake, Chocolate Ice Cream, Hot Chocolate, Chocolate Bar"
vanilla,"Vanilla Ice Cream, Vanilla Cake, Vanilla Milkshake, Vanilla Pudding"
strawberry,"Strawberry Smoothie, Strawberry Ice Cream, Strawberry Shortcake, Strawberry Tart"
blueberry,"Blueberry Muffins, Blueberry Pancakes, Blueberry Pie, Blueberry Cheesecake"
lemon,"Lemonade, Lemon Cake, Lemon Tart, Lemon Sorbet"
lime,"Lime Sorbet, Key Lime Pie, Limeade, Lime Chicken"
happy,"Ice Cream, Cake, Chocolate, Pizza"
sad,"Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
stressed,"Tea, Herbal Drink, Dark Chocolate, Nuts"
angry,"Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
tired,"Coffee, Energy Drink, Protein Bar, Sandwich"
bored,"Snacks, Chips, Popcorn, Candy"
lonely,"Soup, Hot Tea, Noodles, Ramen"
excited,"Cake, Ice Cream, Fast Food, Milkshake"
calm,"Herbal Tea, Chamomile, Warm Milk, Fruit"
celebration,"Cake, Champagne, Steak, Fine Wine"
"happy, sad","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"happy, stressed","Ice Cream, Cake, Chocolate, Pizza, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, angry","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, tired","Ice Cream, Cake, Chocolate, Pizza, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, bored","Ice Cream, Cake, Chocolate, Pizza, Snacks, Chips, Popcorn, Candy"
"happy, lonely","Ice Cream, Cake, Chocolate, Pizza, Soup, Hot Tea, Noodles, Ramen"
"happy, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake"
"happy, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit"
"happy, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine"
"sad, stressed","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, angry","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, tired","Coffee, Energy Drink, Protein Bar, Sandwich, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, bored","Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, lonely","Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, excited","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, celebration","Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"stressed, angry","Tea, Herbal Drink, Dark Chocolate, Nuts, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"stressed, tired","Tea, Herbal Drink, Dark Chocolate, Nuts, Coffee, Energy Drink, Protein Bar, Sandwich"
"stressed, bored","Tea, Herbal Drink, Dark Chocolate, Nuts, Snacks, Chips, Popcorn, Candy"
"stressed, lonely","Tea, Herbal Drink, Dark Chocolate, Nuts, Soup, Hot Tea, Noodles, Ramen"
"stressed, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake"
"stressed, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit"
"stressed, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine"
"angry, tired","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Coffee, Energy Drink, Protein Bar, Sandwich"
"angry, bored","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Snacks, Chips, Popcorn, Candy"
"angry, lonely","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Soup, Hot Tea, Noodles, Ramen"
"angry, excited","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake"
"angry, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit"
"angry, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Champagne, Steak, Fine Wine"
"tired, bored","Coffee, Energy Drink, Protein Bar, Sandwich, Snacks, Chips, Popcorn, Candy"
"tired, lonely","Coffee, Energy Drink, Protein Bar, Sandwich, Soup, Hot Tea, Noodles, Ramen"
"tired, excited","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake"
"tired, calm","Coffee, Energy Drink, Protein Bar, Sandwich, Herbal Tea, Chamomile, Warm Milk, Fruit"
"tired, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Champagne, Steak, Fine Wine"
"bored, lonely","Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"bored, excited","Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy"
"bored, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"bored, celebration","Cake, Champagne, Steak, Fine Wine, Snacks, Chips, Popcorn, Candy"
"lonely, excited","Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen"
"lonely, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen"
"lonely, celebration","Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen"
"excited, calm","Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit"
"excited, celebration","Cake, Ice Cream, Fast Food, Milkshake, Cake, Champagne, Steak, Fine Wine"
"calm, celebration","Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
"happy, sad, stressed","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, sad, angry","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, sad, tired","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, sad, bored","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"happy, sad, lonely","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"happy, sad, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"happy, sad, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"happy, sad, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"happy, stressed, angry","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, stressed, tired","Ice Cream, Cake, Chocolate, Pizza, Coffee, Energy Drink, Protein Bar, Sandwich, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, stressed, bored","Ice Cream, Cake, Chocolate, Pizza, Tea, Herbal Drink, Dark Chocolate, Nuts, Snacks, Chips, Popcorn, Candy"
"happy, stressed, lonely","Ice Cream, Cake, Chocolate, Pizza, Soup, Hot Tea, Noodles, Ramen, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, stressed, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, stressed, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, stressed, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, angry, tired","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, angry, bored","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Snacks, Chips, Popcorn, Candy"
"happy, angry, lonely","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Soup, Hot Tea, Noodles, Ramen"
"happy, angry, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, angry, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, angry, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, tired, bored","Ice Cream, Cake, Chocolate, Pizza, Coffee, Energy Drink, Protein Bar, Sandwich, Snacks, Chips, Popcorn, Candy"
"happy, tired, lonely","Ice Cream, Cake, Chocolate, Pizza, Coffee, Energy Drink, Protein Bar, Sandwich, Soup, Hot Tea, Noodles, Ramen"
"happy, tired, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, tired, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, tired, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, bored, lonely","Ice Cream, Cake, Chocolate, Pizza, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"happy, bored, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy"
"happy, bored, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"happy, bored, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Snacks, Chips, Popcorn, Candy"
"happy, lonely, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen"
"happy, lonely, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen"
"happy, lonely, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen"
"happy, excited, calm","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit"
"happy, excited, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake, Cake, Champagne, Steak, Fine Wine"
"happy, calm, celebration","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
"sad, stressed, angry","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"sad, stressed, tired","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Coffee, Energy Drink, Protein Bar, Sandwich"
"sad, stressed, bored","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, stressed, lonely","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, stressed, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, stressed, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, stressed, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, angry, tired","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Coffee, Energy Drink, Protein Bar, Sandwich"
"sad, angry, bored","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, angry, lonely","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, angry, excited","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, angry, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, angry, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, tired, bored","Coffee, Energy Drink, Protein Bar, Sandwich, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, tired, lonely","Coffee, Energy Drink, Protein Bar, Sandwich, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, tired, excited","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
