keyword,foods
"sad, tired, calm","Coffee, Energy Drink, Protein Bar, Sandwich, Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, tired, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, bored, lonely","Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"sad, bored, excited","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, bored, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, bored, celebration","Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, lonely, excited","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, lonely, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, lonely, celebration","Cake, Champagne, Steak, Fine Wine, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, excited, calm","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Herbal Tea, Chamomile, Warm Milk, Fruit"
"sad, excited, celebration","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Cake, Champagne, Steak, Fine Wine"
"sad, calm, celebration","Herbal Tea, Chamomile, Warm Milk, Fruit, Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Cake, Champagne, Steak, Fine Wine"
"stressed, angry, tired","Tea, Herbal Drink, Dark Chocolate, Nuts, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Coffee, Energy Drink, Protein Bar, Sandwich"
"stressed, angry, bored","Tea, Herbal Drink, Dark Chocolate, Nuts, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Snacks, Chips, Popcorn, Candy"
"stressed, angry, lonely","Tea, Herbal Drink, Dark Chocolate, Nuts, Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Soup, Hot Tea, Noodles, Ramen"
"stressed, angry, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"stressed, angry, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"stressed, angry, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"stressed, tired, bored","Tea, Herbal Drink, Dark Chocolate, Nuts, Coffee, Energy Drink, Protein Bar, Sandwich, Snacks, Chips, Popcorn, Candy"
"stressed, tired, lonely","Tea, Herbal Drink, Dark Chocolate, Nuts, Coffee, Energy Drink, Protein Bar, Sandwich, Soup, Hot Tea, Noodles, Ramen"
"stressed, tired, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Coffee, Energy Drink, Protein Bar, Sandwich"
"stressed, tired, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Coffee, Energy Drink, Protein Bar, Sandwich"
"stressed, tired, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine, Coffee, Energy Drink, Protein Bar, Sandwich"
"stressed, bored, lonely","Tea, Herbal Drink, Dark Chocolate, Nuts, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"stressed, bored, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy"
"stressed, bored, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"stressed, bored, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine, Snacks, Chips, Popcorn, Candy"
"stressed, lonely, excited","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen"
"stressed, lonely, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen"
"stressed, lonely, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen"
"stressed, excited, calm","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit"
"stressed, excited, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Cake, Ice Cream, Fast Food, Milkshake, Cake, Champagne, Steak, Fine Wine"
"stressed, calm, celebration","Tea, Herbal Drink, Dark Chocolate, Nuts, Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
"angry, tired, bored","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Coffee, Energy Drink, Protein Bar, Sandwich, Snacks, Chips, Popcorn, Candy"
"angry, tired, lonely","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Coffee, Energy Drink, Protein Bar, Sandwich, Soup, Hot Tea, Noodles, Ramen"
"angry, tired, excited","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Coffee, Energy Drink, Protein Bar, Sandwich"
"angry, tired, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit, Coffee, Energy Drink, Protein Bar, Sandwich"
"angry, tired, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Champagne, Steak, Fine Wine, Coffee, Energy Drink, Protein Bar, Sandwich"
"angry, bored, lonely","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"angry, bored, excited","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy"
"angry, bored, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"angry, bored, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Champagne, Steak, Fine Wine, Snacks, Chips, Popcorn, Candy"
"angry, lonely, excited","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen"
"angry, lonely, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen"
"angry, lonely, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen"
"angry, excited, calm","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit"
"angry, excited, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Cake, Ice Cream, Fast Food, Milkshake, Cake, Champagne, Steak, Fine Wine"
"angry, calm, celebration","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
"tired, bored, lonely","Coffee, Energy Drink, Protein Bar, Sandwich, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"tired, bored, excited","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy"
"tired, bored, calm","Coffee, Energy Drink, Protein Bar, Sandwich, Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"tired, bored, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Champagne, Steak, Fine Wine, Snacks, Chips, Popcorn, Candy"
"tired, lonely, excited","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen"
"tired, lonely, calm","Coffee, Energy Drink, Protein Bar, Sandwich, Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen"
"tired, lonely, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen"
"tired, excited, calm","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit"
"tired, excited, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Cake, Ice Cream, Fast Food, Milkshake, Cake, Champagne, Steak, Fine Wine"
"tired, calm, celebration","Coffee, Energy Drink, Protein Bar, Sandwich, Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
"bored, lonely, excited","Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"bored, lonely, calm","Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"bored, lonely, celebration","Cake, Champagne, Steak, Fine Wine, Soup, Hot Tea, Noodles, Ramen, Snacks, Chips, Popcorn, Candy"
"bored, excited, calm","Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy"
"bored, excited, celebration","Cake, Ice Cream, Fast Food, Milkshake, Snacks, Chips, Popcorn, Candy, Cake, Champagne, Steak, Fine Wine"
"bored, calm, celebration","Herbal Tea, Chamomile, Warm Milk, Fruit, Snacks, Chips, Popcorn, Candy, Cake, Champagne, Steak, Fine Wine"
"lonely, excited, calm","Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen, Herbal Tea, Chamomile, Warm Milk, Fruit"
"lonely, excited, celebration","Cake, Ice Cream, Fast Food, Milkshake, Soup, Hot Tea, Noodles, Ramen, Cake, Champagne, Steak, Fine Wine"
"lonely, calm, celebration","Herbal Tea, Chamomile, Warm Milk, Fruit, Soup, Hot Tea, Noodles, Ramen, Cake, Champagne, Steak, Fine Wine"
"excited, calm, celebration","Cake, Ice Cream, Fast Food, Milkshake, Herbal Tea, Chamomile, Warm Milk, Fruit, Cake, Champagne, Steak, Fine Wine"
happy,"Ice Cream, Cake, Chocolate, Pizza"
sad,"Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
stressed,"Tea, Herbal Drink, Dark Chocolate, Nuts"
angry,"Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
tired,"Coffee, Energy Drink, Protein Bar, Sandwich"
bored,"Snacks, Chips, Popcorn, Candy"
lonely,"Soup, Hot Tea, Noodles, Ramen"
excited,"Cake, Ice Cream, Fast Food, Milkshake"
calm,"Herbal Tea, Chamomile, Warm Milk, Fruit"
celebration,"Cake, Champagne, Steak, Fine Wine"
"happy, sad","Ice Cream, Cake, Chocolate, Pizza, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"happy, stressed","Ice Cream, Cake, Chocolate, Pizza, Tea, Herbal Drink, Dark Chocolate, Nuts"
"happy, angry","Ice Cream, Cake, Chocolate, Pizza, Spicy Food, Hot Wings, Sour Candy, Hot Sauce"
"happy, tired","Ice Cream, Cake, Chocolate, Pizza, Coffee, Energy Drink, Protein Bar, Sandwich"
"happy, bored","Ice Cream, Cake, Chocolate, Pizza, Snacks, Chips, Popcorn, Candy"
"happy, lonely","Ice Cream, Cake, Chocolate, Pizza, Soup, Hot Tea, Noodles, Ramen"
"happy, excited","Ice Cream, Cake, Chocolate, Pizza, Cake, Ice Cream, Fast Food, Milkshake"
"happy, calm","Ice Cream, Cake, Chocolate, Pizza, Herbal Tea, Chamomile, Warm Milk, Fruit"
"happy, celebration","Ice Cream, Cake, Chocolate, Pizza, Cake, Champagne, Steak, Fine Wine"
"sad, stressed","Tea, Herbal Drink, Dark Chocolate, Nuts, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, angry","Spicy Food, Hot Wings, Sour Candy, Hot Sauce, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, tired","Coffee, Energy Drink, Protein Bar, Sandwich, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
"sad, bored","Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Snacks, Chips, Popcorn, Candy"
"sad, lonely","Mac and Cheese, Soup, Hot Chocolate, Comfort Food, Soup, Hot Tea, Noodles, Ramen"
"sad, excited","Cake, Ice Cream, Fast Food, Milkshake, Mac and Cheese, Soup, Hot Chocolate, Comfort Food"
gluten-free,"Rice Noodles, Quinoa, Gluten-free Pasta, Corn Tortillas"
Thai,"Pad Thai, Green Curry, Tom Yum Soup, Mango Sticky Rice"
lunch,"Sandwich, Salad, Soup, Burger"
salty,"Chips, Pretzels, Salted Nuts, Fries"
snack,"Chips, Popcorn, Nuts, Fruit"
vegetarian,"Veggie Burger, Falafel, Tofu, Lentil Soup"
fresh,"Salad, Fruit, Vegetable Juice, Freshly Baked Bread"
complex,"Curry, Paella, Sushi, Pho"
smooth,"Smoothie, Yogurt, Pudding, Ice Cream"
sweet,"Cake, Ice Cream, Chocolate, Cookies"
low calorie,"Salad, Grilled Vegetables, Fruit, Clear Soup"
French,"Croissant, French Onion Soup, Crème brûlée, Macarons"
heavy meal,"Steak, Lasagna, Burger with fries, Ribs"
unhealthy,"Pizza, Burger, Fries, Donuts"
on the go,"Sandwich, Energy Bar, Fruit, Yogurt Cup"
for a family,"Whole Chicken, Family-size Pizza, Lasagna, Pot Roast"
American,"Burger, Hot Dog, Apple Pie, BBQ Ribs"
meal prep,"Chicken and Rice, Salad Jars, Cooked Quinoa, Roasted Veggies"
eat,"Burger, Pizza, Pasta, Sandwich, Salad"
Chinese,"Fried Rice, Dumplings, Kung Pao Chicken, Noodles"
vegan,"Plant-based Burger, Tofu Scramble, Vegan Pizza, Oat Milk"
light meal,"Salad, Fruit, Yogurt, Small Sandwich"
crunchy,"Chips, Nuts, Fried Chicken, Crackers"
Mexican,"Tacos, Burritos, Enchiladas, Nachos"
simple,"Toast, Omelette, Plain Pasta, Steamed Rice"
Italian,"Pasta, Pizza, Lasagna, Risotto"
comforting,"Mac and Cheese, Soup, Hot Chocolate, Grilled Cheese"
fast food,"Burger, Fries, Pizza, Tacos"
rich,"Cheesecake, Chocolate Mousse, Creamy Pasta, Butter Chicken"
hot,"Soup, Hot Chocolate, Coffee, Tea"
high protein,"Steak, Chicken Breast, Protein Shake, Eggs"
for a party,"Pizza, Tacos, Nachos, Chicken Wings"
sour,"Lemonade, Sour Candy, Yogurt, Pickles"
Japanese,"Sushi, Ramen, Tempura, Sashimi"
drink,"Coffee, Tea, Juice, Smoothie, Water"
stale,"Leftover Pizza, Day-old Bread, Old Chips"
spicy,"Hot Wings, Chili, Spicy Noodles, Jalapeño Poppers"
cold,"Ice Cream, Smoothie, Iced Coffee, Milkshake"
slow food,"Stew, Roast, Casserole, Braised Meat"
for one,"Single-serving Pizza, Sandwich, Cup of Soup, Salad"
Indian,"Curry, Biryani, Naan, Samosa"
dessert,"Cake, Ice Cream, Pie, Cookies"
breakfast,"Pancakes, Omelette, Cereal, Toast"
healthy,"Salad, Grilled Chicken, Quinoa Bowl, Smoothie"
warm,"Warm Soup, Warm Tea, Warm Milk, Porridge"
dinner,"Steak, Pasta, Pizza, Chicken"
gluten-free,"Rice Noodles, Quinoa, Gluten-free Pasta, Corn Tortillas"
Thai,"Pad Thai, Green Curry, Tom Yum Soup, Mango Sticky Rice"
lunch,"Sandwich, Salad, Soup, Burger"
salty,"Chips, Pretzels, Salted Nuts, Fries"
snack,"Chips, Popcorn, Nuts, Fruit"
vegetarian,"Veggie Burger, Falafel, Tofu, Lentil Soup"
fresh,"Salad, Fruit, Vegetable Juice, Freshly Baked Bread"
complex,"Curry, Paella, Sushi, Pho"
smooth,"Smoothie, Yogurt, Pudding, Ice Cream"
sweet,"Cake, Ice Cream, Chocolate, Cookies"
low calorie,"Salad, Grilled Vegetables, Fruit, Clear Soup"
French,"Croissant, French Onion Soup, Crème brûlée, Macarons"
heavy meal,"Steak, Lasagna, Burger with fries, Ribs"
unhealthy,"Pizza, Burger, Fries, Donuts"
on the go,"Sandwich, Energy Bar, Fruit, Yogurt Cup"
for a family,"Whole Chicken, Family-size Pizza, Lasagna, Pot Roast"
American,"Burger, Hot Dog, Apple Pie, BBQ Ribs"
meal prep,"Chicken and Rice, Salad Jars, Cooked Quinoa, Roasted Veggies"
eat,"Burger, Pizza, Pasta, Sandwich, Salad"
Chinese,"Fried Rice, Dumplings, Kung Pao Chicken, Noodles"
vegan,"Plant-based Burger, Tofu Scramble, Vegan Pizza, Oat Milk"
light meal,"Salad, Fruit, Yogurt, Small Sandwich"
crunchy,"Chips, Nuts, Fried Chicken, Crackers"
Mexican,"Tacos, Burritos, Enchiladas, Nachos"
simple,"Toast, Omelette, Plain Pasta, Steamed Rice"
Italian,"Pasta, Pizza, Lasagna, Risotto"
comforting,"Mac and Cheese, Soup, Hot Chocolate, Grilled Cheese"
fast food,"Burger, Fries, Pizza, Tacos"
rich,"Cheesecake, Chocolate Mousse, Creamy Pasta, Butter Chicken"
hot,"Soup, Hot Chocolate, Coffee, Tea"
high protein,"Steak, Chicken Breast, Protein Shake, Eggs"
for a party,"Pizza, Tacos, Nachos, Chicken Wings"
sour,"Lemonade, Sour Candy, Yogurt, Pickles"
Japanese,"Sushi, Ramen, Tempura, Sashimi"
drink,"Coffee, Tea, Juice, Smoothie, Water"
stale,"Leftover Pizza, Day-old Bread, Old Chips"
spicy,"Hot Wings, Chili, Spicy Noodles, Jalapeño Poppers"
cold,"Ice Cream, Smoothie, Iced Coffee, Milkshake"
slow food,"Stew, Roast, Casserole, Braised Meat"
for one,"Single-serving Pizza, Sandwich, Cup of Soup, Salad"
Indian,"Curry, Biryani, Naan, Samosa"
dessert,"Cake, Ice Cream, Pie, Cookies"
breakfast,"Pancakes, Omelette, Cereal, Toast"
healthy,"Salad, Grilled Chicken, Quinoa Bowl, Smoothie"
warm,"Warm Soup, Warm Tea, Warm Milk, Porridge"
dinner,"Steak, Pasta, Pizza, Chicken"
gluten-free,"Rice Noodles, Quinoa, Gluten-free Pasta, Corn Tortillas"
Thai,"Pad Thai, Green Curry, Tom Yum Soup, Mango Sticky Rice"
lunch,"Sandwich, Salad, Soup, Burger"
salty,"Chips, Pretzels, Salted Nuts, Fries"
snack,"Chips, Popcorn, Nuts, Fruit"
vegetarian,"Veggie Burger, Falafel, Tofu, Lentil Soup"
fresh,"Salad, Fruit, Vegetable Juice, Freshly Baked Bread"
complex,"Curry, Paella, Sushi, Pho"
sick,"Chicken Soup, Herbal Tea, Porridge, Toast"
fever,"Hydrating foods, Electrolyte drinks, Broth, Watermelon"
sore throat,"Hot Tea, Honey, Soup, Popsicles, Ice Cream"
upset stomach,"Ginger Ale, Crackers, Banana, White Rice, Toast"
headache,"Water, Electrolyte drinks, Cucumber, Bananas"
nausea,"Ginger, Plain crackers, Dry toast, Peppermint tea"
cold,"Hot Soup, Tea with honey, Ginger, Orange Juice"
flu,"Chicken Noodle Soup, Broth, Tea, Water"
tired,"Coffee, Protein bar, Nuts, Fruit"
low energy,"Energy bar, Smoothie, Banana, Oatmeal"
dehydrated,"Water, Coconut water, Fruit juice, Watermelon"
constipation,"Fiber-rich foods, Prunes, Water, Whole grains"
diarrhea,"BRAT diet (Bananas, Rice, Applesauce, Toast), Clear broth"
stress,"Dark chocolate, Nuts, Herbal tea, Oatmeal"
insomnia,"Warm milk, Chamomile tea, Almonds, Cherries"
high blood pressure,"Low-sodium foods, Vegetables, Fruits, Lean proteins"
high cholesterol,"Oatmeal, Avocado, Nuts, Fatty fish (salmon)"
diabetes,"Whole grains, Vegetables, Lean proteins, Berries"
cake,Cake
pizza,Pizza
burger,Burger
salad,Salad
sushi,Sushi
tacos,Tacos
pasta,Pasta
steak,Steak
fries,Fries
soup,Soup
sandwich,Sandwich
coffee,Coffee
tea,Tea
juice,Juice
ice cream,Ice Cream
milkshake,Milkshake
smoothie,Smoothie
cookie,Cookie
pie,Pie
donut,Donut
muffin,Muffin
pancake,Pancake
waffle,Waffle
omelette,Omelette
cereal,Cereal
oatmeal,Oatmeal
toast,Toast
hot dog,Hot Dog
nuggets,Chicken Nuggets
ribs,BBQ Ribs
fish,Grilled Fish
chicken,Roasted Chicken
beef,Beef Steak
pork,Pork Chop
lamb,Lamb Chops
rice,Fried Rice
noodles,Noodles
dumplings,Dumplings
biryani,Biryani
curry,Curry
burrito,Burrito
enchiladas,Enchiladas
quesadilla,Quesadilla
nachos,Nachos
pudding,Pudding
cheesecake,Cheesecake
brownie,Brownie
tiramisu,Tiramisu
